"Partition","TimeLimit (Days)","MaxRunningJobs","MaxCPU","MaxMem","MaxGPUs","NumNodes","NodeList"
"aoraki*",7,100,126,"1000G","-",27,"aoraki[01-09,14-15,17,20-26,34-41]"
"aoraki_bigcpu",14,50,252,"1500G","-",10,"aoraki[15,20-23,34-38]"
"aoraki_bigmem",14,10,126,"2000G","-",5,"aoraki[14,17,24-26]"
"aoraki_fastcore",14,50,94,"1500G","-",5,"aoraki[39-43]"
"aoraki_long",30,25,252,"2000G","-",10,"aoraki[20-26,34-36]"
"aoraki_short",1,250,32,"256G","-",3,"aoraki[11,12,16]"
"aoraki_small",7,30,8,"32G","-",7,"aoraki[18,19,27,28,31-33]"
"aoraki_gpu",7,2,16,"150G",2,10,"aoraki[11,12,16,18,19,27,28,31-33]"
"aoraki_gpu_h100",7,2,16,"150G",2,2,"aoraki[16,30]"
"aoraki_gpu_l40",7,2,16,"150G",2,5,"aoraki[18,19,31-33]"
"aoraki_gpu_a100_80gb",7,2,16,"150G",2,2,"aoraki[11,12]"
"aoraki_gpu_a100_40gb",7,2,16,"150G",2,2,"aoraki[27,28]"
"aoraki_gpu_l4_24gb",7,2,8,"60G",2,1,"aoraki[29]"
"aoraki_gpu_rtx3090",7,2,8,"60G",2,4,"aoraki-g[01,02,04,05]"
