"PARTITION","TIMELIMIT [DD-HH:MM:SS]","NODES","NODELIST","MAX_CORES PER NODE","MAX_MEMORY [MB] PER NODE","GRES PER NODE"
"aoraki*","7-00:00:00","9","aoraki[01-09]","126","1030000",
"aoraki_bigcpu","14-00:00:00","5","aoraki[15,20-23]","254","1500000",
"aoraki_bigmem","14-00:00:00","5","aoraki[14,17,24-26]","126","2000000",
"aoraki_long","30-00:00:00","7","aoraki[20-26]","126 or 254","2000000 or 1500000",
"aoraki_short","1-00:00:00","3","aoraki[11-12,16]","80","600000",
"aoraki_small","7-00:00:00","4","aoraki[18-19,27-28]","40","800000",
"aoraki_gpu","7-00:00:00","2","aoraki[11-12]","126","1030000","gpu:A100:2"
"aoraki_gpu_H100","7-00:00:00","1","aoraki16","110","1030000","gpu:H100:2"
"aoraki_gpu_L40","7-00:00:00","2","aoraki[18-19]","62","1030000","gpu:L40:3"
"aoraki_gpu_A100_80GB","7-00:00:00","2","aoraki[11-12]","126","1030000","gpu:A100:2"
"aoraki_gpu_A100_40GB","7-00:00:00","2","aoraki[27-28]","62","1030000","gpu:A100:2"
"aoraki_gpu_RTX3090","7-00:00:00","4","aoraki-g[02,04],"32","62000","gpu:rtx3090:1"
"aoraki_gpu_RTX3090","7-00:00:00","4","aoraki-g[01,05],"64","124000","gpu:rtx3090:1"
